store_id,sizeshop,tong_dien_tichm2,rong_ngang_m,dai_sau_m,kv_ban_hangm2,kho_m2,via_he_rongm,khai_truong_date,is_southern
CPS-HNO-DDA-21TH,4,99.4,7.1,14.0,87.0,50.0,4.0,2017-06-17,0
CPS-HCM-Q09-125LVV,4,96.0,6.4,15.0,88.04,12.6,4.0,2016-06-11,1
CPS-HNO-HKI-21AHB,4,111.0,5.1,8.0,81.0,40.0,4.0,2013-09-19,0
CPS-HNO-BTL-244PVD,3,200.0,8.6,11.2,120.0,80.0,4.0,2024-06-26,0
CPS-HCM-CCH-193TL8,3,130.0,10.0,15.0,100.0,15.0,4.0,2022-04-12,1
CPS-HCM-Q07-435NTT,3,235.0,9.4,25.0,178.6,18.0,4.0,2022-05-19,1
CPS-HCM-TPH-472LTT,3,162.73,8.61,18.9,108.42,8.8,4.0,2021-04-09,1
CPS-HCM-TBI-190BHVT,3,654.6,23.7,14.0,212.27,116.5,4.0,2021-11-25,1
CPS-HCM-Q04-177KH,3,375.2,6.7,14.0,87.1,75.64,4.0,2016-10-07,1
CPS-HNO-CGI-160NKT,3,45.0,5.0,9.0,45.0,1.0,4.0,2018-10-15,0
CPS-TNI-TNI-855CMT8,3,211.14,15.0,10.0,162.0,16.77,4.0,2023-02-15,1
CPS-HCM-TDU-632AKVC,3,231.0,11.0,21.0,176.0,20.1,4.0,2022-01-11,1
CPS-HCM-Q09-241DXH,3,195.5,11.5,17.0,146.05,16.0,4.0,2018-09-29,1
CPS-HCM-Q11-457LDH,3,420.66,7.6,16.9,128.44,128.4,4.0,2021-06-07,1
CPS-TGI-MTO-472AB,3,452.6,15.5,14.6,150.8,34.5,4.0,2022-11-19,1
CPS-HNO-LBI-252NGT,3,107.21,14.41,7.44,101.0,70.0,4.0,2020-10-24,0
CPS-KHO-NTR-3TN,3,412.8,8.6,24.0,180.6,17.48,4.0,2024-06-15,1
CPS-HCM-Q02-190NTD,3,183.75,7.5,24.5,115.63,15.6,4.0,2021-12-10,1
CPS-HCM-BTH-536XVNT,3,94.08,9.6,13.0,70.08,6.0,4.0,2016-02-27,1
CPS-BTR-BTR-15DK,2,183.0,10.0,18.3,119.03,16.4,4.0,2022-04-22,1
CPS-HCM-TPH-161NS,2,140.0,8.0,17.5,104.28,13.1,4.0,2020-12-26,1
CPS-DTH-CLA-81NH,2,182.36,4.7,19.4,91.18,34.31,4.0,2023-04-29,1
CPS-STR-STR-91HV,2,158.0,10.0,15.8,121.8,14.1,4.0,2023-08-15,1
CPS-KGI-PQU-35HV,2,178.5,8.5,21.0,136.0,18.8,4.0,2023-04-29,1
CPS-BRI-VTA-491BMTT,2,316.8,13.2,24.0,237.6,23.0,4.0,2022-08-06,1
CPS-HCM-TBI-359CH,2,193.6,9.68,20.0,152.95,47.9,4.0,2020-10-21,1
CPS-HCM-TPH-449TKTQ,2,460.8,9.6,16.0,153.6,39.2,4.0,2022-02-17,1
CPS-HCM-GVA-59QT,2,112.76,12.7,12.4,98.74,7.48,4.0,2015-05-09,1
CPS-LAN-BLU-82NHT,2,171.0,9.0,19.0,135.0,12.0,4.0,2022-05-12,1
CPS-TVI-TVI-24DBP,2,173.8,7.6,25.0,121.6,17.55,4.0,2022-10-30,1
CPS-BDI-QNH-669THD,2,548.8,14.0,19.6,126.8,25.0,4.0,2024-05-11,1
CPS-DON-LKH-175HV,2,152.0,8.0,19.0,96.0,16.0,4.0,2022-04-22,1
CPS-AGI-CDO-272LL,1,459.34,19.3,23.8,270.0,189.14,4.0,2025-10-25,1
CPS-NTH-PHR-339TN,1,241.8,9.3,26.0,139.5,30.15,4.0,2024-12-07,1
CPS-LDO-BLO-739TP,1,220.99,7.7,28.7,123.2,21.0,4.0,2025-05-01,1
